Date,Home Team,Home Score,Away Team,Away Score
2016-11-01,Warsaw,47,Lincoln,63
2016-11-02,John F. Kennedy,48,Crossroads College Preparatory,21
2016-11-03,School of the Ozarks,45,Reeds Spring,66
2016-11-17,Oakville,48,Parkway South,64
2016-11-18,Kingsville,39,Appleton City,43
2016-11-18,Otterville,85,Bunceton,46
2016-11-18,Sturgeon,65,Community,50
2016-11-18,Lockwood,58,Dadeville,31
2016-11-18,Leopold,41,Delta,59
2016-11-18,Carnahan,74,Glendale,93
2016-11-18,School of the Ozarks,62,Humansville,42
2016-11-18,Tuscumbia,53,Iberia,76
2016-11-18,John F. Kennedy,35,Lutheran St. Charles,62
2016-11-18,Pilot Grove,62,Madison,65
2016-11-18,Archie,79,Montrose,62
2016-11-18,Weaubleau,76,Northeast Vernon County,16
2016-11-18,DeSoto,54,Northwest (Cedar Hill),49
2016-11-18,Macon,65,Putnam County,79
2016-11-18,Bradleyville,83,Seymour,98
2016-11-18,Northwest (Hughesville),60,Slater,82
2016-11-18,Dixon,45,St. James,74
2016-11-18,Soldan International Studies,70,St. Mary's South Side,84
2016-11-18,California,70,St. Paul Lutheran (Concordia),69
2016-11-18,Elsberry,53,Winfield,40
2016-11-18,Warrenton,60,Wright City,27
2016-11-19,Hickman,61,Jackson,63
2016-11-19,Salem,61,Marshfield,60
2016-11-19,Logan-Rogersville,56,Rolla,40
2016-11-21,Raytown South,53,Benton,61
2016-11-21,California,59,Boonville,64
2016-11-21,Marion County,59,Brashear,52
2016-11-21,Wheatland,72,Bronaugh,46
2016-11-21,La Monte,44,Calhoun,66
2016-11-21,South Iron,61,Clearwater,30
2016-11-21,Smithton,71,Concordia,56
2016-11-21,Gateway,76,Confluence Prep Academy Charter,71
2016-11-21,John F. Kennedy,46,Crystal City,41
2016-11-21,Lutie,29,Dora,55
2016-11-21,Linn,53,Eldon,35
2016-11-21,Thomas Jefferson Independent Day,57,Exeter,39
2016-11-21,West County,62,Fredericktown,35
2016-11-21,Everton,44,Greenfield,75
2016-11-21,Meadow Heights,64,Herculaneum,45
2016-11-21,Fayette,62,Higbee,53
2016-11-21,Niangua,61,Humansville,94
2016-11-21,Gateway Science Charter,57,John Burroughs,23
2016-11-21,McDonald County,49,Joplin,64
2016-11-21,Macon County,32,Keytesville,63
2016-11-21,Ritenour,61,Ladue Horton Watkins,88
2016-11-21,Ellington,71,Lesterville,32
2016-11-21,Grundy County with Newtown-Harris,38,Linn County,61
2016-11-21,Drexel,34,Lone Jack,39
2016-11-21,Pacific,44,McCluer North,52
2016-11-21,Hale with Bosworth,15,Mercer,85
2016-11-21,Knox County,49,Monroe City,78
2016-11-21,Atlanta,25,Northwestern (Mendon),65
2016-11-21,North County,46,Notre Dame (Cape Girardeau),54
2016-11-21,Putnam County,61,Novinger,70
2016-11-21,Polo,63,Orrick,45
2016-11-21,Sweet Springs,93,Otterville,85
2016-11-21,Cainsville with Ridgeway,39,Pattonsburg,52
